project_id	archive_name	original_path	candidate_root	workspace_root	actual_runnable_root	source_type	original_url	original_author	framework	runtime	package_manager	entrypoint	build_command	output_directory	is_html_fragment	is_public_template	is_library	is_backend	has_demo	demo_root	requires_workspace_context	content_hash	should_deploy	classification_reason	vercel_project_name
glasslab-Users-lekan-Dev-glass-projects-lab-originals-glassmorphism-main-glassmorphism-main	glassmorphism-main		/Users/lekan/Dev/glass-projects-lab/originals/glassmorphism-main/glassmorphism-main	/Users/lekan/Dev/glass-projects-lab/originals/glassmorphism-main/glassmorphism-main	/Users/lekan/Dev/glass-projects-lab/originals/glassmorphism-main/glassmorphism-main	github			static-html	browser	npm				False	False	False	False	False		False	196149687a53b4692afd46f94a4a9c1332d65122dffc72a0800a91bc8ee5a7a8	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-glassmorphism-main-glassmorphism-main
glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-refraction-master-1-glass-refraction-master	glass-refraction-master-1		/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master	github			react	browser	npm		npm run build	dist	False	False	False	False	False		False	c257900a44f008f3ba306634a2c0ae3efb3a3fe82be00e4097fc35dec8c4674b	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-refraction-master-1-glass-refraction-mas
glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-refraction-master-1-glass-refraction-master-examples-vanilla	glass-refraction-master-1		/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master/examples/vanilla	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master/examples/vanilla	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master/examples/vanilla	github			static-html	browser	npm				False	False	False	False	False		False	68820a9a7d5fc2afea9ba95c2d521947896616c65f825020fcc6cbafce11bb32	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-refraction-master-1-glass-refraction-mas
glasslab-Users-lekan-Dev-glass-projects-lab-originals-css-glass-main-css-glass-main	css-glass-main		/Users/lekan/Dev/glass-projects-lab/originals/css-glass-main/css.glass-main	/Users/lekan/Dev/glass-projects-lab/originals/css-glass-main/css.glass-main	/Users/lekan/Dev/glass-projects-lab/originals/css-glass-main/css.glass-main	github			static-html	browser	pnpm		pnpm run build	dist	False	False	False	False	False		False	6a93024029c096e0d53a2ccf3fd40dda0885c948a262d8803eecbea7ce723c0d	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-css-glass-main-css-glass-main
glasslab-Users-lekan-Dev-glass-projects-lab-originals-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src	slider-button-liquid-glass-apple-ios-262025		/Users/lekan/Dev/glass-projects-lab/originals/slider-button-liquid-glass-apple-ios-262025/slider-button-liquid-glass-apple-ios-262025/src	/Users/lekan/Dev/glass-projects-lab/originals/slider-button-liquid-glass-apple-ios-262025/slider-button-liquid-glass-apple-ios-262025/src	/Users/lekan/Dev/glass-projects-lab/originals/slider-button-liquid-glass-apple-ios-262025/slider-button-liquid-glass-apple-ios-262025/src	github			html-fragment	browser	npm				False	False	False	False	False		False	3c4e14b4aff47af342db40b8013d245703c6379216905d5449b8b383d980e93f	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-slider-button-liquid-glass-apple-ios-262025-sl
glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-model-1-glass-model-src	glass-model-1		/Users/lekan/Dev/glass-projects-lab/originals/glass-model-1/glass-model/src	/Users/lekan/Dev/glass-projects-lab/originals/glass-model-1/glass-model/src	/Users/lekan/Dev/glass-projects-lab/originals/glass-model-1/glass-model/src	github			html-fragment	browser	npm				False	False	False	False	False		False	ee63634fb0a1249cf5e904aee409a1569c699f4a2898a4a764232049560af695	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-model-1-glass-model-src
glasslab-Users-lekan-Dev-glass-projects-lab-originals-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src	cross-browser-liquid-toggle-drag-tap		/Users/lekan/Dev/glass-projects-lab/originals/cross-browser-liquid-toggle-drag-tap/cross-browser-liquid-toggle-drag-tap/src	/Users/lekan/Dev/glass-projects-lab/originals/cross-browser-liquid-toggle-drag-tap/cross-browser-liquid-toggle-drag-tap/src	/Users/lekan/Dev/glass-projects-lab/originals/cross-browser-liquid-toggle-drag-tap/cross-browser-liquid-toggle-drag-tap/src	github			html-fragment	browser	npm				False	False	False	False	False		False	1e243f4b27094b869d2b8cb9f688f0a88c1151970d34bb4b6cd59d9a2cab7de0	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-cross-browser-liquid-toggle-drag-tap-cross-bro
glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src	liquid-glass-effect-wwdc25		/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect-wwdc25/liquid-glass-effect-wwdc25/src	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect-wwdc25/liquid-glass-effect-wwdc25/src	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect-wwdc25/liquid-glass-effect-wwdc25/src	github			static-html	browser	npm				False	False	False	False	False		False	f5bdee0eb49dc89ec340802f672dcbc364f6abd84c53efa903c968d5b0a93997	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-effect-wwdc25-liquid-glass-effect
glasslab-Users-lekan-Dev-glass-projects-lab-originals-7-css-main-7-css-main	7-css-main		/Users/lekan/Dev/glass-projects-lab/originals/7-css-main/7.css-main	/Users/lekan/Dev/glass-projects-lab/originals/7-css-main/7.css-main	/Users/lekan/Dev/glass-projects-lab/originals/7-css-main/7.css-main	github			static-html	browser	npm		npm run build	dist	False	False	False	False	False		False	70c7b8895468980c0693bb7da438e08fd7220576f4dc95e722757075096a38ba	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-7-css-main-7-css-main
glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-main-liquid-glass-main	liquid-glass-main		/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-main/liquid-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-main/liquid-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-main/liquid-glass-main	github			static-html	browser	npm				False	False	False	False	False		False	ef3a17337490fd79ea1b3582794d37f45c92c782aa6d7446abecf3abde6f3cc4	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-main-liquid-glass-main
